Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
28,Bilal Bafdili,be BEL,"MF,FW",Mechelen,20,2004,19,11,855,9.5,1,3,4,1,0,0,2,0,0.11,0.32,0.42,0.11,0.42
29,Michel-Ange Balikwisha,cd COD,MF,Antwerp,24,2001,4,4,345,3.8,1,0,1,0,1,1,0,0,0.26,0.00,0.26,0.00,0.00
30,William Balikwisha,cd COD,MF,OH Leuven,26,1999,11,3,302,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
31,Hassane Bandé,bf BFA,"FW,MF",Mechelen,26,1998,7,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
32,David Bates,sct SCO,DF,Standard Liège,28,1996,18,15,1377,15.3,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07
33,Alama Bayo,gn GUI,FW,Cercle Brugge,19,2006,5,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
34,Emin Bayram,tr TUR,DF,Westerlo,22,2003,38,38,3320,36.9,4,2,6,3,1,1,4,2,0.11,0.05,0.16,0.08,0.14
35,Alexis Beka Beka,fr FRA,MF,La Louvière,24,2001,7,2,171,1.9,1,0,1,1,0,0,0,0,0.53,0.00,0.53,0.53,0.53
36,Rafik Belghali,dz ALG,DF,Mechelen,23,2002,3,3,239,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
37,Mouhamed Belkheir,fr FRA,FW,La Louvière,26,1999,3,2,167,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
38,Quentin Benaets,be BEL,FW,Charleroi,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
39,Mauricio Benítez,ar ARG,"MF,DF",Antwerp,21,2004,27,17,1501,16.7,3,0,3,3,0,0,4,0,0.18,0.00,0.18,0.18,0.18
40,Antoine Bernier,be BEL,MF,Charleroi,27,1997,38,31,2355,26.2,7,2,9,7,0,0,7,0,0.27,0.08,0.34,0.27,0.34
41,Adriano Bertaccini,be BEL,"MF,FW",Anderlecht,24,2000,32,17,1545,17.2,6,1,7,6,0,0,7,1,0.35,0.06,0.41,0.35,0.41
42,Adriano Bertaccini,be BEL,"FW,MF",Sint-Truiden,24,2000,1,0,28,0.3,1,1,2,1,0,0,0,0,3.21,3.21,6.43,3.21,6.43
43,Mohamed Berte,be BEL,FW,Dender,23,2002,28,8,967,10.7,2,0,2,2,0,0,1,0,0.19,0.00,0.19,0.19,0.19
44,Joshua Bethume,be BEL,MF,Anderlecht,16,2009,3,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
